UIMDOMAINNAME	UIMTABLENAME	DQ_TYPE	UIMFIELDNAME	FILE_NAME	LATEST_VERSION	BIZ_DT	DQ_CNT	RECORD_COUNT
Application	UIMDAPPFACDTL	DUP_CHECK	ACCT_SRC_NUM|APPL_ID|CR_APPL_NUM|FAC_ID|FAC_NUM|JOINT_BORW_ID|LNE_REF_NUM|RL_TYPE_CD|SRC_IDNT|SRC_SYS_NM	AUUIMDAPPFACDTL0300	Y	20250729	0	6078
Application	UIMDAPPLCNTDTL	DUP_CHECK	APPL_ID|APPLCNT_ORDER_SEQ|APPLCNT_SRC_ID|CR_APPL_NUM|SRC_IDNT|SRC_SYS_NUM|BUSN_DT|CUST_SRC_NUM	AUUIMDAPPLCNTDTL0200	Y	20250729	0	3437
Application	UIMDAPPFACDTL	DUP_CHECK	ACCT_SRC_NUM|APPL_ID|CR_APPL_NUM|FAC_ID|FAC_NUM|JOINT_BORW_ID|LNE_REF_NUM|RL_TYPE_CD|SRC_IDNT|SRC_SYS_NM	AUUIMDAPPFACDTL0300	Y	20250730	0	6079
Application	UIMDAPPFACDTL	DUP_CHECK	ACCT_SRC_NUM|APPL_ID|CR_APPL_NUM|FAC_ID|FAC_NUM|JOINT_BORW_ID|LNE_REF_NUM|RL_TYPE_CD|SRC_IDNT|SRC_SYS_NM	AUUIMDAPPFACDTL0300	Y	20250731	0	6083
Trade Finance	UIMDTRFMGMTP	DUP_CHECK	TRD_FIN_TXN_REF_NUM|TRD_FIN_GL_REF|TXN_CCY_CD_GL	VNUIMDTRFMGMTP0101	N	20250801	0	2759
Trade Finance	UIMDTRFMGMTP	DUP_CHECK	TRD_FIN_TXN_REF_NUM|TRD_FIN_GL_REF|TXN_CCY_CD_GL	VNUIMDTRFMGMTP0301	Y	20250731	0	3401


UIMDOMAINNAME	UIMTABLENAME	DQ_TYPE	UIMFIELDNAME	FILE_NAME
Application	UIMDAPPFACDTL	DUP_CHECK	ACCT_SRC_NUM|APPL_ID|CR_APPL_NUM|FAC_ID|FAC_NUM|JOINT_BORW_ID|LNE_REF_NUM|RL_TYPE_CD|SRC_IDNT|SRC_SYS_NM	AUUIMDAPPFACDTL0300
Application	UIMDAPPLCNTDTL	DUP_CHECK	APPL_ID|APPLCNT_ORDER_SEQ|APPLCNT_SRC_ID|CR_APPL_NUM|SRC_IDNT|SRC_SYS_NUM|BUSN_DT|CUST_SRC_NUM	AUUIMDAPPLCNTDTL0200
Application	UIMDAPPLPDTDTL	DUP_CHECK	APPL_FLDR_SEQ_NUM|APPL_ID|CR_APPL_NUM|SRC_IDNT|SRC_SYS_NM	AUUIMDAPPLPDTDTL0200
CASA_OD	UIMDCASAODMGMTP	DUP_CHECK	ACCT_SRC_NUM|CURRECY_CD	AUUIMDCASAODMGMTP0204
CASA_OD	UIMDCASAODMGMTP	DUP_CHECK	ACCT_SRC_NUM|CURRECY_CD	AUUIMDCASAODMGMTP0200
CASA_OD	UIMDCASAODMGMTP	DUP_CHECK	ACCT_SRC_NUM|CURRECY_CD	AUUIMDCASAODMGMTP0203
CASA_OD	UIMDCASAODMGMTP	DUP_CHECK	ACCT_SRC_NUM|CURRECY_CD	AUUIMDCASAODMGMTP0101
Collateral	UIMDCODFACRL	DUP_CHECK	CLTRL_ID|FAC_NUM|SRC_SYS_NM|SRC_IDNT	AUUIMDCODFACRL0101
Collateral	UIMDCODMGMTP	DUP_CHECK	SRC_SYS_NM|CLTRL_ID	AUUIMDCODMGMTP0301
Collateral	UIMDCODMGMTP	DUP_CHECK	SRC_SYS_NM|CLTRL_ID	AUUIMDCODMGMTP0300
Collateral	UIMDCODMGMTP	DUP_CHECK	SRC_SYS_NM|CLTRL_ID	AUUIMDCODMGMTP0200
