UIMDOMAINNAME	UIMTABLENAME	DQ_TYPE	UIMFIELDNAME	FILE_NAME	LATEST_VERSION	CDE_PK_IND	DOWNSTREAM_APPLICATION	COUNTRY	BIZ_DT	DQ_CNT	RECORD_COUNT	PERCENTAGE_NULL	PREV_BIZ_DT	PREV_DQ_CNT	PREV_RECORD_CNT	PREV_PERCENTAGE_NULL	CURRENT_AND_PREVIOUS_NULL_COUNT_DIFFERENCE	CURRENT_AND_PREVIOUS_NULL_COUNT_PERCENTAGE_DIFFERENCE	THRESHOLD_LIMIT	CATEGORY	REASON
Cards	UIMMCRDMGMTP	NULL_CHECK	DELQ_120D_AMT_IN_ACCT_CCY	IDUIMMCRDMGMTP0301	Y	N	BASEL	ID	20250731	2251904	2680158	84.0213	20250630	2262550	2690237	84.1023	-10646	-0.0809	85	Within Threshold	Null in data lake


UIMDOMAINNAME	UIMTABLENAME	DQ_TYPE	UIMFIELDNAME	FILE_NAME	LATEST_VERSION	CDE_PK_IND	DOWNSTREAM_APPLICATION	COUNTRY
Cards	UIMMCRDMGMTP	NULL_CHECK	DELQ_120D_AMT_IN_ACCT_CCY	IDUIMMCRDMGMTP0301	Y	N	BASEL	ID
Global Markets	UIMDGMKTRD	NULL_CHECK	CPN_RT_BOND	JPUIMDGMKTRD0300	N	N	PME	JP
Loans & Leasing	UIMDLNSMGMTP	NULL_CHECK	RSTRC_TYPE	JPUIMDLNSMGMTP0202	N	N	PME	JP
Trade Finance	UIMDTRFMGMTP	NULL_CHECK	FIN_CNCPT	JPUIMDTRFMGMTP0200	N	N	BASEL	JP
CASA (Including OD)	UIMDCASAODMGMTP	NULL_CHECK	PROD_CD_SRC	PHUIMDCASAODMGMTP0101	N	N	BASEL	PH
CASA (Including OD)	UIMDCASAODMGMTP	NULL_CHECK	OD_IND	SGUIMDCASAODMGMTP0200	N	N	PME	SG
Finance GL	UIMDGLCFVBTM	NULL_CHECK	ELIM_TYPE	THUIMDGLCFVBTM0102	Y	N	PME	TH
Loans & Leasing	UIMDLNSMGMTP	NULL_CHECK	IMPLMTD_AMT	THUIMDLNSMGMTP0201	N	N	BOT Ph2	TH
Loans & Leasing	UIMDLNSMGMTP	NULL_CHECK	MTD_AMT_RLSE_IN_ACCT_CCY	THUIMDLNSMGMTP0203	Y	N	BOT Ph2	TH
Application	UIMDAPPFACDTL	NULL_CHECK	RL_TYPE_CD	TWUIMDAPPFACDTL0300	Y	Y	PME	TW
Global Markets	UIMDGMKTRD	NULL_CHECK	PTFOL_DESC	AUUIMDGMKTRD0400	N	N	PME	AU
